"Scenario","SampleSize","TrueNABCD","Bias","Coverage","Power"
"S01",50,0,0.092,NA,0.942
"S01",100,0,0.066,NA,0.386
"S01",200,0,0.046,NA,0.02
"S03",50,0.074,0.038,0.662,0.966
"S03",100,0.074,0.019,0.892,0.592
"S03",200,0.074,0.005,0.95,0.262
"S04",50,0.186,0.006,0.958,0.988
"S04",100,0.186,-0.002,0.934,0.976
"S04",200,0.186,-0.007,0.95,0.992
"S05",50,0.372,-0.035,0.938,1
"S05",100,0.372,-0.04,0.86,1
"S05",200,0.372,-0.046,0.71,1
"S06",50,0.148,0.003,0.956,0.994
"S06",100,0.148,-0.012,0.982,0.998
"S06",200,0.148,-0.019,0.954,0.992
"S08",50,0.067,0.026,0.604,0.954
"S08",100,0.067,0.002,0.934,0.436
"S08",200,0.067,-0.016,0.996,0.042
